processing_date,category_1,category_2,isbn13
20250118,Action & Adventure for Children (Books),Children's Early Learning Books on Words,1
20250118,Action & Adventure for Children (Books),Classic Books,1
20250118,Action & Adventure for Children (Books),Classics for Children,1
20250118,Activity Books for Children,Children's Early Learning Books on Words,1
20250118,Activity Books for Children,Classics for Children,1
20250118,Adolescent Counselling,Child Development,1
20250118,Adolescent Counselling,Raising Teenagers,1
20250118,Adolescent Counselling,Teen and Young Adult,1
20250118,Almanacs & Yearbooks (Books),Classics for Children,1
20250118,Almanacs & Yearbooks (Books),Comics and Graphic Novels,1
20250118,Animal Sciences References,Almanacs & Yearbooks (Books),1
20250118,Animal Sciences References,Classics for Children,1
20250118,Animal Sciences References,Comics and Graphic Novels,1
20250118,Athletics Biographies,Children's Books on Marriage & Divorce,1
20250118,Athletics Biographies,Sport and Outdoors,1
20250118,Ball Games,Children's Books on the Olympics,1
20250118,Ball Games,Sport and Outdoors,1
20250118,Biographies of Social Activists for Children,Children's Books on Motor Sports,1
20250118,Biographies of Social Activists for Children,Sport and Outdoors,1
20250118,Birdwatching (Books),Children's Books on Forests & Trees,1
20250118,Birdwatching (Books),"Science, Nature & How It Works",1
20250118,Books on Football for Young Adults,Children's Books on American Football,1
20250118,Books on Football for Young Adults,Sport and Outdoors,1
20250118,Celtic Glasgow,Colouring Books for Children,1
20250118,Celtic Glasgow,Sport and Outdoors,1
20250118,Chapter Books for Children,Classic Books,3
20250118,Chapter Books for Children,Contemporary Fantasy for Young Adults,2
20250118,Chapter Books for Children,Fantasy Fiction About Wizards & Witches for Young Adults,1
20250118,Chapter Books for Children,Fiction Classics for Young Adults,3
20250118,Children's Action & Adventure Comics & Graphic Novels,Children's Animal Comics & Graphic Novels,1
20250118,Children's Animal Comics & Graphic Novels,Children's Humorous Comics & Graphic Novels,1
20250118,Children's Animal Comics & Graphic Novels,"Science, Nature & How It Works",1
20250118,Children's Bedtime & Dream Books,Children's Early Learning Books on Sounds,1
20250118,Children's Books on Adoption,Children's Historical Fiction on Military & Wars,1
20250118,Children's Books on Adoption,Modern & Contemporary Historical Fiction for Children,1
20250118,Children's Books on American Football,Humour Encyclopaedias,1
20250118,Children's Books on American Football,Sport and Outdoors,3
20250118,Children's Books on Bears,Children's Books on Holidays & Celebrations,1
20250118,Children's Books on Bears,Children's Books on Recycling & Green Living,1
20250118,Children's Books on Bears,Children's Early Learning Books on Sounds,1
20250118,Children's Books on Bears,Exploring Polar Regions for Children,1
20250118,Children's Books on Bears,"Science, Nature & How It Works",2
20250118,"Children's Books on Cars, Trains & Things That Go",Electronics & Communications Engineering,1
20250118,"Children's Books on Cars, Trains & Things That Go","Science, Nature & How It Works",1
20250118,Children's Books on Christmas,Sport and Outdoors,1
20250118,Children's Books on Computer Entertainment & Games,"Science, Nature & How It Works",1
20250118,Children's Books on Computer Programming,Children's Books on Computer Entertainment & Games,1
20250118,Children's Books on Computer Programming,"Science, Nature & How It Works",1
20250118,Children's Books on Dogs,Children's Books on Nature,1
20250118,Children's Books on Dogs,Classics for Children,1
20250118,Children's Books on Dogs,Fantasy Adventure for Children,1
20250118,Children's Books on Dogs,Nature Education,1
20250118,Children's Books on Dogs,"Science, Nature & How It Works",1
20250118,Children's Books on Dogs,"TV, Movie & Video Game Adaptations for Children",1
20250118,Children's Books on Easter,Children's Bedtime & Dream Books,1
20250118,Children's Books on Easter,Children's Books on Country & Farm Life,1
20250118,Children's Books on Easter,Children's Early Learning Books on Sounds,1
20250118,Children's Books on Emigrants & Immigrants,Children's Books on Bears,1
20250118,Children's Books on Emigrants & Immigrants,"Science, Nature & How It Works",1
20250118,Children's Books on Emotions & Feelings,Children's Books on Family Life,1
20250118,Children's Books on Emotions & Feelings,Classics for Children,2
20250118,Children's Books on Emotions & Feelings,Fiction About Emotions & Feelings for Children,1
20250118,Children's Books on Family Life,Children's Humorous Comics & Graphic Novels,4
20250118,Children's Books on Family Life,Classics for Children,1
20250118,Children's Books on Farm Animals,Children's Books on Country & Farm Life,1
20250118,Children's Books on Farm Animals,Children's Books on Easter,1
20250118,Children's Books on Farm Animals,Children's Books on Pigs,2
20250118,Children's Books on Fashion Crafts,Children's Books on Home,1
20250118,Children's Books on Film,Children's Books on Television & Radio,1
20250118,Children's Books on Film,Comics and Graphic Novels,1
20250118,Children's Books on Film,Nonfiction Comic Books for Children,1
20250118,Children's Books on Football,Celtic Glasgow,1
20250118,Children's Books on Football,Children's Books on American Football,1
20250118,Children's Books on Football,Children's Books on School,1
20250118,Children's Books on Football,Children's Fiction on Sexuality,1
20250118,Children's Books on Football,Colouring Books for Children,1
