rank,title,author,price,format,rating,review_count,isbn10,isbn13,page_count,category,target_age_range,timestamp,asin,product_url,image_url,category_ranks,source_file,clean_title,reference_asin,category_ranks_dict,primary_category_rank,series_name,book_number,series_asin,standardized_format
1,Guess How Much I Love You: The beloved classic and perfect Valentines gift,Sam McBratney,4.0,Board book,4.8,8751.0,,9781406358780.0,32.0,Classic Books,,2025-01-18T12:28:25.446962,1406358789,https://www.amazon.co.uk/Guess-How-Much-Love-You/dp/1406358789,https://images-eu.ssl-images-amazon.com/images/P/1406358789.01.L.jpg,1 in Children's Books on Emotions & Feelings | 1 in Classics for Children | 1 in Children's Books on Valentine's Day,bestsellers_20250118.csv,Guess How Much I Love You: The beloved classic and perfect Valentines gift,1406358789,{},,,,,Board Book
2,Dear Zoo: The Lift-the-flap Preschool Classic,Rod Campbell,4.0,Board book,4.8,30578.0,1529074932,9781529074932.0,18.0,Classic Books,1-3,2025-01-18T12:28:25.448966,1529074932,https://www.amazon.co.uk/Dear-Zoo-Anniversary-Rod-Campbell/dp/1529074932,https://images-eu.ssl-images-amazon.com/images/P/1529074932.01.L.jpg,2 in Classics for Children | 2 in Children's Early Learning Books on Size & Shape | 5 in Activity Books for Children,bestsellers_20250118.csv,Dear Zoo: The Lift-the-flap Preschool Classic,1529074932,{},,,,,Board Book
3,The Tiger Who Came to Tea,Judith Kerr,4.0,Paperback,4.8,15640.0,0007368380,9780007215997.0,32.0,Classic Books,2-4,2025-01-18T12:28:25.451129,0007215991,https://www.amazon.co.uk/Tiger-Who-Came-Tea/dp/0007215991,https://images-eu.ssl-images-amazon.com/images/P/0007215991.01.L.jpg,2 in Children’s Daily Activity Fiction Books | 2 in Doctors & Medicine Humour | 3 in Classics for Children,bestsellers_20250118.csv,The Tiger Who Came to Tea,0007215991,{},,,,,Paperback
4,We're Going on a Bear Hunt: The bestselling classic family favourite,Michael Rosen,4.0,Paperback,4.8,4779.0,0744523230,9780744523232.0,40.0,Classic Books,2-4,2025-01-18T12:28:25.453149,0744523230,https://www.amazon.co.uk/Were-Going-Bear-Michael-Rosen/dp/0744523230,https://images-eu.ssl-images-amazon.com/images/P/0744523230.01.L.jpg,2 in Children's Early Learning Books on Words | 4 in Classics for Children | 9 in Activity Books for Children,bestsellers_20250118.csv,We're Going on a Bear Hunt: The bestselling classic family favourite,0744523230,{},,,,,Paperback
5,Oh Dear!: A Lift-the-flap Farm Book from the Creator of Dear Zoo,Rod Campbell,4.0,Board book,4.8,2617.0,1529097886,9781529097887.0,18.0,Classic Books,,2025-01-18T12:28:25.454920,1529097886,https://www.amazon.co.uk/Oh-Dear-Rod-Campbell/dp/1529097886,https://images-eu.ssl-images-amazon.com/images/P/1529097886.01.L.jpg,1 in Children's Books on Country & Farm Life | 1 in Children's Books on Easter | 2 in Children's Books on Farm Animals,bestsellers_20250118.csv,Oh Dear!: A Lift-the-flap Farm Book from the Creator of Dear Zoo,1529097886,{},,,,,Board Book
6,"The Gruffalo (The Gruffalo, 1)",Julia Donaldson,6.49,Board book,4.9,16944.0,,9781509830398.0,24.0,Classic Books,2-4,2025-01-18T12:28:25.456925,1509830391,https://www.amazon.co.uk/Gruffalo-Julia-Donaldson/dp/1509830391,https://images-eu.ssl-images-amazon.com/images/P/1509830391.01.L.jpg,"3 in Horror & Ghost Stories for Children | 4 in Dragons, Unicorns & Mythical Creatures Tales for Children | 5 in Children's Books on Mystery & Wonders",bestsellers_20250118.csv,"The Gruffalo (The Gruffalo, 1)",1509830391,{},,,,,Board Book
7,Where's Spot?: Eric Hill (Spot - Original Lift The Flap),Eric Hill,5.0,Hardcover,4.8,34158.0,0723263663,9780723263661.0,22.0,Classic Books,1-2,2025-01-18T12:28:25.458766,0723263663,https://www.amazon.co.uk/Wheres-Spot-Original-Lift-Flap/dp/0723263663,https://images-eu.ssl-images-amazon.com/images/P/0723263663.01.L.jpg,6 in Classics for Children | 8 in Children's Books on Dogs | 13 in Children's Books on Mammals,bestsellers_20250118.csv,Where's Spot?: Eric Hill (Spot - Original Lift The Flap),0723263663,{},,,,,Hardcover
8,"The Tiger Who Came to Tea: The nation’s favourite illustrated children’s book, from the author of Mog the Forgetful Cat",Judith Kerr,3.69,Kindle Edition,4.8,15640.0,,,32.0,Classic Books,,2025-01-18T12:28:25.461790,B007XJ70QI,https://www.amazon.co.uk/Tiger-Who-Came-Tea-ebook/dp/B007XJ70QI,https://images-eu.ssl-images-amazon.com/images/P/B007XJ70QI.01.L.jpg,"1 in Children's Imagination & Play Literature | 1 in Children's Classic Literature | 1 in Children's Lion, Tiger & Leopard eBooks",bestsellers_20250118.csv,"The Tiger Who Came to Tea: The nation’s favourite illustrated children’s book, from the author of Mog the Forgetful Cat",B007XJ70QI,{},,,,,Digital
9,"Gruffalo, Where Are You?: A Felt Flaps Book (Gruffalo Baby, 3)",Julia Donaldson,7.99,Board book,4.8,2497.0,1529023602,9781529023602.0,10.0,Classic Books,,2025-01-18T12:28:25.463620,1529023602,https://www.amazon.co.uk/Gruffalo-Where-Are-You-Flaps/dp/1529023602,https://images-eu.ssl-images-amazon.com/images/P/1529023602.01.L.jpg,"1 in Children's Books on Rabbits | 5 in Dragons, Unicorns & Mythical Creatures Tales for Children | 6 in Children's Books on Mystery & Wonders",bestsellers_20250118.csv,"Gruffalo, Where Are You?: A Felt Flaps Book (Gruffalo Baby, 3)",1529023602,{},,,,,Board Book
10,"Fox's Socks: A Lift-the-flap Story (Tales From Acorn Wood, 1)",Julia Donaldson,4.0,Board book,4.8,6887.0,1529023475,9781529023473.0,12.0,Classic Books,1-3,2025-01-18T12:28:25.465247,1529023475,https://www.amazon.co.uk/Foxs-Socks-Anniversary-Tales-Acorn/dp/1529023475,https://images-eu.ssl-images-amazon.com/images/P/1529023475.01.L.jpg,1 in Children's Books on Fashion Crafts | 3 in Children's Books on Home | 4 in Children’s Daily Activity Fiction Books,bestsellers_20250118.csv,"Fox's Socks: A Lift-the-flap Story (Tales From Acorn Wood, 1)",1529023475,{},,,,,Board Book
