rank,title,author,price,format,rating,review_count,isbn10,isbn13,page_count,category,target_age_range,timestamp,asin,product_url,image_url,category_ranks
1,Guess How Much I Love You: The beloved classic and perfect Valentines gift,Sam McBratney,4.0,Board book,4.8,8785.0,,9781406358780,32,Classic Books,,2025-01-24T10:14:43.167594,1406358789,https://www.amazon.co.uk/Guess-How-Much-Love-You/dp/1406358789,https://images-eu.ssl-images-amazon.com/images/P/1406358789.01.L.jpg,1 in Fiction About Emotions & Feelings for Children | 1 in Children's Fiction Books on Animals | 1 in Children's Books on Valentine's Day
2,The Tiger Who Came to Tea,Judith Kerr,4.0,Paperback,4.8,15663.0,0007368380,9780007215997,32,Classic Books,2-4,2025-01-24T10:14:43.169265,0007215991,https://www.amazon.co.uk/Tiger-Who-Came-Tea/dp/0007215991,https://images-eu.ssl-images-amazon.com/images/P/0007215991.01.L.jpg,1 in Children’s Daily Activity Fiction Books | 2 in Classics for Children | 3 in Activity Books for Children
3,Dear Zoo: The Lift-the-flap Preschool Classic,Rod Campbell,4.0,Board book,4.8,30602.0,1529074932,9781529074932,18,Classic Books,1-3,2025-01-24T10:14:43.170903,1529074932,https://www.amazon.co.uk/Dear-Zoo-Anniversary-Rod-Campbell/dp/1529074932,https://images-eu.ssl-images-amazon.com/images/P/1529074932.01.L.jpg,2 in Children's Early Learning Books on Size & Shape | 3 in Classics for Children | 6 in Children's Fiction Books on Animals
4,We're Going on a Bear Hunt: The bestselling classic family favourite,Michael Rosen,4.0,Paperback,4.8,4797.0,0744523230,9780744523232,40,Classic Books,2-4,2025-01-24T10:14:43.172861,0744523230,https://www.amazon.co.uk/Were-Going-Bear-Michael-Rosen/dp/0744523230,https://images-eu.ssl-images-amazon.com/images/P/0744523230.01.L.jpg,3 in Children's Early Learning Books on Words | 4 in Classics for Children | 10 in Activity Books for Children
5,Oh Dear!: A Lift-the-flap Farm Book from the Creator of Dear Zoo,Rod Campbell,4.0,Board book,4.8,2634.0,1529097886,9781529097887,18,Classic Books,,2025-01-24T10:14:43.174514,1529097886,https://www.amazon.co.uk/Oh-Dear-Rod-Campbell/dp/1529097886,https://images-eu.ssl-images-amazon.com/images/P/1529097886.01.L.jpg,1 in Children's Books on Country & Farm Life | 1 in Children's Books on Easter | 2 in Children's Books on Farm Animals
6,"The Gruffalo (The Gruffalo, 1)",Julia Donaldson,6.49,Board book,4.9,16962.0,,9781509830398,24,Classic Books,2-4,2025-01-24T10:14:43.176237,1509830391,https://www.amazon.co.uk/Gruffalo-Julia-Donaldson/dp/1509830391,https://images-eu.ssl-images-amazon.com/images/P/1509830391.01.L.jpg,"2 in Horror & Ghost Stories for Children | 4 in Dragons, Unicorns & Mythical Creatures Tales for Children | 5 in Children's Books on Mystery & Wonders"
7,Where's Spot?: Eric Hill (Spot - Original Lift The Flap),Eric Hill,5.0,Hardcover,4.8,34173.0,0723263663,9780723263661,22,Classic Books,1-2,2025-01-24T10:14:43.179178,0723263663,https://www.amazon.co.uk/Wheres-Spot-Original-Lift-Flap/dp/0723263663,https://images-eu.ssl-images-amazon.com/images/P/0723263663.01.L.jpg,7 in Classics for Children | 8 in Children's Books on Dogs | 14 in Children's Books on Mammals
8,"The Tiger Who Came to Tea: The nation’s favourite illustrated children’s book, from the author of Mog the Forgetful Cat",Judith Kerr,3.69,Kindle Edition,4.8,15663.0,,,32,Classic Books,,2025-01-24T10:14:43.181118,B007XJ70QI,https://www.amazon.co.uk/Tiger-Who-Came-Tea-ebook/dp/B007XJ70QI,https://images-eu.ssl-images-amazon.com/images/P/B007XJ70QI.01.L.jpg,"1 in Children's Imagination & Play Literature | 1 in Children's Classic Literature | 1 in Children's Lion, Tiger & Leopard eBooks"
9,Harry Potter Children's Collection: The Complete Collection (Children's Paperback),J.K. Rowling,40.0,Paperback,4.9,36970.0,,9781408856772,3872,Classic Books,8+,2025-01-24T10:14:43.182776,1408856778,https://www.amazon.co.uk/Harry-Potter-Box-Set-Collection/dp/1408856778,https://images-eu.ssl-images-amazon.com/images/P/1408856778.01.L.jpg,2 in Chapter Books for Children | 3 in Fiction Classics for Young Adults | 3 in Fantasy Fiction About Wizards & Witches for Young Adults
10,"Fox's Socks: A Lift-the-flap Story (Tales From Acorn Wood, 1)",Julia Donaldson,4.0,Board book,4.8,6895.0,1529023475,9781529023473,12,Classic Books,1-3,2025-01-24T10:14:43.184550,1529023475,https://www.amazon.co.uk/Foxs-Socks-Anniversary-Tales-Acorn/dp/1529023475,https://images-eu.ssl-images-amazon.com/images/P/1529023475.01.L.jpg,1 in Children's Books on Fashion Crafts | 3 in Children's Books on Home | 4 in Children’s Daily Activity Fiction Books
11,"Brown Bear, Brown Bear, What Do You See?",Eric Carle,6.99,Board book,4.8,52136.0,0241137292,9780241137291,28,Classic Books,1-3,2025-01-24T10:14:43.186186,0241137292,https://www.amazon.co.uk/Brown-Bear-What-You-See/dp/0241137292,https://images-eu.ssl-images-amazon.com/images/P/0241137292.01.L.jpg,4 in Children's Books on Bears | 4 in Children's Early Learning Books on Colours | 4 in Children's Early Learning Books on Sounds
12,"Rabbit's Nap: A Lift-the-flap Book (Tales From Acorn Wood, 4)",Julia Donaldson,4.0,Board book,4.8,6600.0,1529023521,9781529023527,12,Classic Books,1-2,2025-01-24T10:14:43.187820,1529023521,https://www.amazon.co.uk/Rabbits-Nap-Anniversary-Tales-Acorn/dp/1529023521,https://images-eu.ssl-images-amazon.com/images/P/1529023521.01.L.jpg,1 in Children's Books on Rabbits | 2 in Children's Books on Easter | 3 in Children's Early Learning Books on Sounds
13,"Postman Bear: A Lift-the-flap Story (Tales From Acorn Wood, 3)",Julia Donaldson,4.0,Board book,4.8,3071.0,152902353X,9781529023534,12,Classic Books,1-2,2025-01-24T10:14:43.189434,152902353X,https://www.amazon.co.uk/Postman-Bear-Anniversary-Tales-Acorn/dp/152902353X,https://images-eu.ssl-images-amazon.com/images/P/152902353X.01.L.jpg,5 in Children's Books on Bears | 5 in Children's Early Learning Books on Numbers & Counting | 13 in Children's Books on Holidays & Celebrations
14,We're Going on a Bear Hunt: The bestselling classic in a super-sturdy board book for babies and toddlers,Michael Rosen,7.32,Board book,4.8,4584.0,1406363073,9781406363074,36,Classic Books,1-3,2025-01-24T10:14:43.191213,1406363073,https://www.amazon.co.uk/Were-Going-Bear-Michael-Rosen/dp/1406363073,https://images-eu.ssl-images-amazon.com/images/P/1406363073.01.L.jpg,6 in Children's Early Learning Books on Words | 15 in Classics for Children | 51 in Action & Adventure for Children (Books)
