UserID,SignUpDate,FirstEvent,LatestEvent,EnrollCount,SignupYear,SignUpM,SignUpMonth
51024,2025-01-24 14:27:47,2025-01-25 11:00:00,,1,2025,1,January
50995,2025-01-21 22:57:18,,,,2025,1,January
50992,2025-01-21 19:04:43,,,,2025,1,January
50985,2025-01-20 12:52:05,,,,2025,1,January
50965,2025-01-18 12:15:14,2025-01-19 12:00:00,2025-01-19 12:00:00,1,2025,1,January
50958,2025-01-17 18:13:08,2025-01-19 12:00:00,2025-01-19 12:00:00,1,2025,1,January
50939,2025-01-16 00:30:26,,,,2025,1,January
50935,2025-01-15 13:56:42,2025-01-25 11:00:00,,1,2025,1,January
50910,2025-01-12 14:08:58,2025-01-21 19:00:00,2025-01-21 19:00:00,1,2025,1,January
50892,2025-01-11 14:22:35,2025-01-15 19:00:00,2025-01-18 10:30:00,2,2025,1,January
50869,2025-01-10 07:52:00,,,,2025,1,January
50844,2025-01-07 19:53:40,2025-01-13 19:00:00,2025-01-13 19:00:00,1,2025,1,January
50839,2025-01-07 17:35:42,,,,2025,1,January
50830,2025-01-06 23:07:33,,,,2025,1,January
50803,2025-01-05 18:51:56,2025-01-20 19:00:00,2025-01-20 19:00:00,1,2025,1,January
50801,2025-01-05 18:06:18,,,,2025,1,January
50797,2025-01-05 14:31:44,,,,2025,1,January
50780,2025-01-04 23:52:09,,,,2025,1,January
50779,2025-01-04 23:09:42,2025-01-05 12:00:00,2025-01-05 12:00:00,1,2025,1,January
50767,2025-01-04 14:57:07,2025-01-07 19:00:00,2025-01-13 19:00:00,3,2025,1,January
50754,2025-01-04 08:38:26,,,,2025,1,January
50743,2025-01-03 14:26:58,,,,2025,1,January
50730,2025-01-02 22:24:50,2025-01-14 19:00:00,2025-01-14 19:00:00,1,2025,1,January
50720,2025-01-02 14:48:37,,,,2025,1,January
50700,2025-01-01 23:06:14,2025-01-05 12:00:00,2025-01-05 12:00:00,1,2025,1,January
50694,2025-01-01 20:15:29,2025-01-04 10:30:00,2025-01-04 10:30:00,1,2025,1,January
50640,2024-12-28 06:46:04,,,,2024,12,December
50636,2024-12-27 16:22:59,2024-12-28 11:00:00,2024-12-28 11:00:00,1,2024,12,December
50575,2024-12-16 13:12:49,2024-12-16 19:00:00,2024-12-16 19:00:00,1,2024,12,December
50548,2024-12-13 20:57:36,2024-12-18 19:00:00,2025-01-22 19:00:00,3,2024,12,December
50512,2024-12-10 16:45:15,2024-12-10 19:00:00,2024-12-10 19:00:00,1,2024,12,December
50469,2024-12-06 23:11:58,2024-12-07 10:30:00,2024-12-07 10:30:00,1,2024,12,December
50468,2024-12-06 21:23:36,2024-12-07 10:30:00,2025-01-18 10:30:00,2,2024,12,December
50413,2024-11-29 21:25:01,2024-11-30 11:00:00,2024-11-30 11:00:00,1,2024,11,November
50378,2024-11-25 17:01:03,2024-11-25 19:00:00,2024-12-09 19:00:00,3,2024,11,November
