order_id,pattern_id,price_paid,download_status
1,100075,13.5,completed
1,100058,13.5,completed
1,100092,13.5,completed
1,100045,14.0,completed
1,100077,10.5,expired
1,100003,11.5,completed
1,100136,10.5,completed
1,100032,12.0,completed
1,100070,7.9,expired
2,100122,12.0,completed
2,100112,10.5,completed
2,100087,12.5,completed
3,100029,13.5,completed
3,100016,12.0,completed
3,100102,14.0,completed
3,100125,13.0,completed
3,100018,8.0,completed
4,100063,11.0,expired
4,100030,12.0,completed
5,100133,10.5,expired
5,100097,11.0,expired
6,100076,13.5,completed
6,100109,13.0,completed
6,100078,13.0,completed
6,100145,10.35,completed
7,100067,12.0,completed
7,100020,14.0,completed
8,100044,15.5,completed
8,100141,13.5,expired
8,100019,14.0,expired
8,100040,13.0,expired
9,100074,13.5,completed
10,100059,10.5,completed
10,100073,12.0,completed
10,100072,11.25,completed
10,100116,10.5,completed
11,100108,10.5,completed
12,100139,10.5,completed
12,100057,13.5,completed
13,100036,15.3,completed
13,100018,8.0,completed
13,100015,13.0,completed
14,100112,10.5,completed
14,100031,14.5,expired
14,100119,12.5,completed
15,100128,14.0,completed
15,100138,8.0,completed
15,100126,14.0,expired
15,100112,10.5,completed
16,100064,11.0,expired
16,100006,14.0,completed
16,100023,14.0,completed
16,100058,13.5,completed
16,100147,12.5,completed
16,100005,14.0,completed
16,100068,7.9,expired
16,100010,0.0,expired
16,100044,15.5,completed
16,100120,13.0,expired
16,100132,12.5,completed
16,100113,10.5,expired
16,100071,7.9,completed
16,100046,13.95,completed
16,100149,13.0,completed
16,100111,12.5,completed
16,100125,13.0,completed
16,100089,7.9,expired
17,100131,12.0,completed
18,100105,0.0,completed
18,100013,15.0,completed
19,100113,10.5,completed
20,100052,7.9,expired
20,100068,7.9,expired
20,100140,12.5,completed
20,100033,13.5,completed
20,100073,12.0,completed
21,100040,13.0,expired
21,100079,11.0,completed
21,100141,13.5,completed
21,100003,11.5,completed
22,100030,12.0,completed
22,100039,11.0,completed
22,100127,13.5,expired
23,100123,10.5,completed
23,100120,13.0,expired
24,100141,13.5,completed
25,100048,9.5,completed
25,100130,10.5,completed
26,100070,7.9,completed
26,100106,0.0,completed
26,100087,12.5,expired
26,100129,10.5,expired
26,100068,7.9,completed
26,100000,12.5,completed
26,100072,11.25,completed
26,100076,13.5,expired
26,100148,14.5,completed
26,100125,13.0,expired
26,100038,14.0,completed
26,100114,14.5,completed
26,100137,11.0,expired
26,100123,10.5,expired
27,100098,11.0,completed
27,100038,14.0,completed
27,100126,14.0,completed
27,100009,0.0,expired
28,100134,9.5,completed
28,100116,10.5,expired
28,100003,11.5,completed
29,100120,13.0,completed
29,100067,12.0,completed
29,100086,7.9,completed
29,100101,5.0,completed
29,100020,14.0,completed
29,100084,12.0,completed
29,100136,10.5,expired
29,100097,11.0,completed
29,100081,11.0,completed
29,100124,13.0,expired
29,100138,8.0,completed
30,100076,13.5,completed
30,100007,11.0,completed
31,100075,13.5,completed
31,100091,12.0,expired
32,100037,13.0,completed
32,100062,11.0,completed
32,100135,10.5,completed
32,100105,0.0,expired
32,100144,12.0,completed
32,100046,13.95,expired
33,100059,10.5,completed
33,100118,12.5,expired
34,100065,10.5,completed
35,100073,12.0,completed
36,100018,8.0,completed
36,100113,10.5,expired
36,100088,7.9,completed
36,100076,13.5,completed
36,100108,10.5,completed
36,100064,11.0,completed
36,100116,10.5,expired
36,100077,10.5,completed
36,100050,7.9,completed
36,100098,11.0,completed
36,100123,10.5,expired
36,100027,0.0,completed
37,100058,13.5,completed
37,100090,11.25,completed
37,100056,13.5,completed
37,100048,9.5,completed
37,100064,11.0,expired
38,100008,0.0,completed
38,100148,14.5,completed
38,100093,13.5,completed
38,100033,13.5,completed
38,100023,14.0,expired
38,100075,13.5,completed
38,100083,10.5,completed
38,100106,0.0,completed
38,100044,15.5,expired
38,100051,12.5,completed
38,100138,8.0,completed
39,100057,13.5,completed
39,100101,5.0,expired
39,100142,10.5,completed
39,100093,13.5,completed
40,100137,11.0,completed
40,100031,14.5,expired
40,100116,10.5,completed
40,100094,13.5,completed
40,100067,12.0,completed
40,100149,13.0,completed
40,100097,11.0,completed
40,100095,10.5,expired
40,100027,0.0,completed
40,100059,10.5,completed
40,100120,13.0,completed
40,100006,14.0,completed
40,100143,10.5,expired
40,100083,10.5,expired
40,100056,13.5,completed
40,100016,12.0,expired
40,100118,12.5,completed
41,100106,0.0,expired
41,100025,13.95,expired
42,100008,0.0,completed
43,100113,10.5,expired
44,100092,13.5,completed
44,100025,13.95,completed
45,100015,13.0,expired
46,100048,9.5,expired
46,100031,14.5,completed
47,100005,14.0,completed
47,100012,0.0,completed
47,100085,12.0,completed
48,100141,13.5,completed
48,100053,7.9,completed
49,100037,13.0,completed
50,100037,13.0,completed
50,100033,13.5,completed
50,100138,8.0,completed
50,100064,11.0,completed
50,100044,15.5,completed
51,100060,13.0,completed
51,100082,11.0,completed
51,100004,11.0,completed
52,100032,12.0,expired
53,100016,12.0,expired
54,100114,14.5,completed
55,100115,12.5,completed
55,100128,14.0,completed
55,100056,13.5,completed
55,100011,6.5,expired
55,100133,10.5,completed
55,100077,10.5,expired
55,100117,8.5,expired
55,100007,11.0,completed
55,100015,13.0,completed
55,100122,12.0,completed
55,100102,14.0,expired
55,100109,13.0,expired
55,100027,0.0,completed
55,100125,13.0,expired
